x	y	z	t	#
-166.857	-217.37	344.052	6.68	0
-163.89	-223.561	332.836	6.7	0
-156.684	-226.088	306.077	6.86	0
-151.325	-220.371	290.883	6.96	0
-150.92	-214.953	295.092	6.98	0
-152.815	-212.959	302.041	7	0
-155.4	-211.147	305.647	7.02	0
-158.296	-209.416	307.476	7.04	0
-161.414	-207.771	312.231	7.06	0
-164.692	-206.097	319.104	7.08	0
-168.225	-204.296	326.917	7.1	0
-172.138	-202.32	332.681	7.12	0
-176.265	-200.102	334.039	7.14	0
-182.679	-221.131	433.988	9.68	1
-179.363	-221.503	431.284	9.7	1
-176.357	-223.447	436.068	9.72	1
-173.833	-226.636	442.797	9.74	1
-171.949	-230.632	447.522	9.76	1
-170.163	-234.856	453.075	9.78	1
-166.679	-238.137	458.273	9.8	1
-159.488	-237.204	365.476	9.88	1
-153.965	-233.283	268.326	9.9	1
-154.301	-231.469	356.978	9.92	1
-153.787	-230.305	445.113	9.94	1
-149.068	-227.614	437.679	9.96	1
-143.022	-224.815	431.113	10	1
-137.929	-222.48	428.059	10.02	1
-133.602	-219.993	423.647	10.04	1
-128.954	-217.203	417.809	10.06	1
-124.08	-214.609	412.816	10.08	1
-119.184	-212.793	405.325	10.1	1
-114.379	-212.421	396.978	10.12	1
-109.713	-213.875	392.991	10.14	1
-105.525	-216.931	394.419	10.16	1
-100.275	-223.032	399.296	10.18	1
-92.8994	-232.043	399.335	10.24	1
-44.0827	-229.636	136.292	10.36	2
-38.2482	-234.983	132.657	10.38	2
-33.1095	-237.811	123.186	10.4	2
-30.0475	-235.386	119.167	10.5	2
-30.5509	-227.763	121.199	10.52	2
-31.7024	-218.322	117.874	10.58	2
-30.3302	-212.628	108.383	10.6	2
-26.7528	-210.21	100.408	10.62	2
-21.8743	-207.559	99.1868	10.64	2
-16.14	-204.163	102.712	10.66	2
-10.2603	-200.274	102.605	10.68	2
-4.74979	-195.671	97.9276	10.7	2
0.290266	-190.533	96.6652	10.72	2
4.96247	-185.672	103.426	10.74	2
9.59121	-181.119	110.354	10.76	2
14.3292	-176.606	112.119	10.78	2
18.7035	-172.207	117.268	10.8	2
21.8535	-168.101	121.395	10.82	2
22.7735	-163.919	118.356	10.84	2
20.8847	-159.12	119.388	10.86	2
16.7773	-153.844	123.736	10.88	2
11.0264	-148.533	125.609	10.9	2
3.61688	-143.612	127.808	10.92	2
-5.37997	-138.719	136.053	10.94	2
-15.3574	-133.893	145.003	10.96	2
-25.4693	-129.822	140.134	10.98	2
-35.5826	-125.792	133.213	11	2
-45.8887	-121.396	132.15	11.02	2
-56.3903	-117.433	130.451	11.04	2
-66.8397	-113.865	128.363	11.06	2
-77.0563	-110.425	126.756	11.08	2
-87.4415	-107.781	130.1	11.1	2
-98.1224	-106.393	132.009	11.12	2
-108.672	-106.567	130.121	11.14	2
-118.75	-108.848	128.433	11.16	2
-127.809	-113.298	125.623	11.18	2
-135.302	-119.64	126.943	11.2	2
-141.277	-127.257	133.977	11.22	2
-146.328	-135.368	142.612	11.24	2
-150.99	-143.492	151.132	11.26	2
-155.863	-151.376	158.77	11.28	2
-161.675	-158.918	170.856	11.3	2
-177.918	-47.1115	198.785	12.7	3
-174.269	-54.3344	198.536	12.72	3
-170.688	-61.1722	200.136	12.74	3
-167.044	-67.7001	202.369	12.76	3
-163.141	-74.0981	206.505	12.78	3
-159.337	-80.3922	212.553	12.8	3
-155.829	-86.505	216.588	12.82	3
-152.673	-92.3285	220.838	12.84	3
-150.014	-97.4139	228.515	12.86	3
-147.868	-101.464	234.165	12.88	3
-146.29	-104.764	238.73	12.9	3
-145.906	-108.88	254.389	12.92	3
